"Giai đoạn/Thành phần DTC","Nội dung Prompt (Câu lệnh)","AI Output","Phản hồi của AI & Quyết định của người học (Reflection)"
"Architecture Consult","Ở interface repository ở domain gọi đến query params và query result ở application có ổn không?","Phân tích vi phạm Clean Architecture, refactor để Domain không phụ thuộc vào Application layer.","Phản hồi: AI cung cấp phân tích và đề xuất kiến trúc. Quyết định: Chấp nhận (Accepted)."
"Refactoring","Move logic cloudinary vào module storage.","Di chuyển module Cloudinary vào hạ tầng Storage chung của hệ thống.","Phản hồi: AI thực hiện di chuyển code và setup module. Quyết định: Chấp nhận (Accepted)."
"Schema & API Fix","Hãy sửa lỗi db và cả api để add subject và grade vào, add nhiều subject và grade đều đc.","Cập nhật quan hệ Many-to-Many trong schema Prisma và update controller để nhận mảng subjects/grades.","Phản hồi: AI xử lý lại mô hình quan hệ database. Quyết định: Chấp nhận (Accepted)."
"Frontend Component","Tách phần upload thành 1 component có thể upload file hoặc ảnh đc trong shared atoms/molecules.","Tạo component dùng chung AvatarUpload và FileUpload dựa trên Shadcn UI.","Phản hồi: AI tạo các UI components có thể tái sử dụng. Quyết định: Chấp nhận (Accepted)."
"Frontend Logic","Trong frontend tutor application có nhiều field... implement validate bằng yup và react hook form.","Áp dụng schema validation (Yup) cho form đăng ký gia sư đa bước (multi-step).","Phản hồi: AI thực hiện form validation. Quyết định: Chấp nhận (Accepted)."
"Frontend Workflow","Muốn handle upload ảnh/file trong multi step form... nhấn next mới gọi presign để tránh dư thừa.","Thay đổi luồng upload file, trì hoãn bước lấy Presigned URL của Supabase cho đến khi user nhấn Next.","Phản hồi: AI điều chỉnh luồng UX logic upload. Quyết định: Chấp nhận (Accepted)."
"API Logic","Có thêm avatarUrl trong tutor application, lưu cloudinary, còn file lưu vào supabase qua presign.","Update backend xử lý luồng lưu trữ kép: avatar cho Cloudinary, documents cho Supabase.","Phản hồi: AI xử lý 2 hệ thống lưu trữ khác nhau. Quyết định: Chấp nhận (Accepted)."
"Module Gen","Xây dựng module payment theo những folder/file tôi đã tạo... sửa db cho phù hợp.","Sinh các handlers thanh toán CQRS, cập nhật Prisma db hỗ trợ giao dịch payment.","Phản hồi: AI tạo các boilerplate và logic handler. Quyết định: Chấp nhận (Accepted)."
"Bug Fix","Fix lỗi đường dẫn path alias trong entities.","Sửa đổi cấu hình import paths.","Phản hồi: AI tìm và sửa đường dẫn. Quyết định: Chấp nhận (Accepted)."
"State Debug","Check store redux xem tại sao state application chưa được update.","Fix luồng Redux Toolkit dispatch sau khi submit tutor application.","Phản hồi: AI debug và khắc phục lỗi đồng bộ state. Quyết định: Chấp nhận (Accepted)."
"Auth Setup","Sau khi auth thành công add token vào client api và redux.","Cấu hình BaseAPI interceptor và Redux Auth Slice để lưu token tự động.","Phản hồi: AI setup interceptor tự động. Quyết định: Chấp nhận (Accepted)."
"Pattern Impl","Apply unit of worrk vào assign resource, cải tiến tối ưu theo kiến trúc.","Tích hợp Unit of Work (UoW) bằng Prisma Transactions cho resource assignment.","Phản hồi: AI cài đặt design pattern UoW. Quyết định: Chấp nhận (Accepted)."
"Query Handler","Implement get me api theo table profile, phụ thuộc vào role sẽ lấy thêm tutor, student, parent.","Xây dựng GetMeHandler linh hoạt sử dụng Prisma include động dựa trên Role enum.","Phản hồi: AI thiết kế API tuỳ biến theo Role. Quyết định: Chấp nhận (Accepted)."
"Core Setup","Tạo 1 cái generic response interceptor format lại data trả về.","Viết NestJS Interceptor bọc data response chuẩn (data, meta, message).","Phản hồi: AI cấu hình chuẩn hóa HTTP Response. Quyết định: Chấp nhận (Accepted)."
"Database Refactor","Remove hết những phần recommendation/interaction ra khỏi db SQL để implement ở NoSQL.","Xoá schema tương tác trong SQL, quy hoạch chuẩn bị cho NoSQL.","Phản hồi: AI dọn dẹp và phân tách database schema. Quyết định: Chấp nhận (Accepted)."
"System Design","Code hiện tại dùng 2 db (SQL core, NoSQL recommendation), data đồng bộ thế nào?","Đề xuất Event-Driven pattern để đồng bộ User/Course giữa Core SQL và Recommendation NoSQL.","Phản hồi: AI đề xuất mô hình event-driven kiến trúc. Quyết định: Chấp nhận (Accepted)."
"Pipeline Setup","Đã sync data BE và model rồi embedding... tiếp theo nên thực hiện sync interaction à?","Cài đặt pipeline đồng bộ hành vi tương tác (view, click) từ hệ thống sang hệ thống gợi ý.","Phản hồi: AI tạo pipeline streaming data. Quyết định: Chấp nhận (Accepted)."
"Strategy Pattern","Đã implement payment xong, muốn build thêm mock cho env dev và payment thật cho env prod.","Sử dụng Design Pattern Strategy và Factory Provider trong NestJS để tuỳ biến PaymentService theo NODE_ENV.","Phản hồi: AI setup dependency injection dựa trên environment. Quyết định: Chấp nhận (Accepted)."
"Doc Gen","Đọc folder components và đưa ra instruction sử dụng shared components hiệu quả.","Quét toàn bộ Shared UI Components, tạo file markdown hướng dẫn tái sử dụng.","Phản hồi: AI tóm tắt tài liệu hướng dẫn nội bộ. Quyết định: Chấp nhận (Accepted)."
